2018-11-19 12:20:58.2935 DEBUG                   21|   AnonymousSafeObserver`1 |               OnNext | No trace listeners. 
2018-11-19 14:28:38.9025 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] Model [KONICA MINOLTA bizhub 227] 
2018-11-19 14:28:38.9025 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] Display model [ bizhub 227] 
2018-11-19 14:28:38.9025 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] Color printer [no] 
2018-11-19 14:28:38.9025 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] Color scanner [yes] 
2018-11-19 14:28:38.9025 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] OpenAPI version [101.0] 
2018-11-19 14:28:38.9074 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] OpenAPI SSL [yes] 
2018-11-19 14:28:38.9074 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] OpenAPI Port [50003] 
2018-11-19 14:28:38.9074 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] Authentication device - Manufacturer [Y Soft Corporation], ProductName [USB reader v2], Firmware [2.2.12usb], SerialNumber [SQUB302Y00E665E] 
2018-11-19 14:28:38.9074 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] Supported function versions [ScanTypeD]: [4.12, 4.10, 4.9, 4.8, 4.6, 4.5, 4.0, 3.7, 3.6, 3.5, 3.1, 3.0, 2.2, 2.1, 2.0] 
2018-11-19 14:28:38.9074 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] Supported function versions [ScanTypeS]: [4.12, 4.10, 4.9, 4.8, 4.6, 4.5, 4.0, 3.7, 3.6, 3.5, 3.1, 3.0, 2.2, 2.1, 2.0] 
2018-11-19 14:28:38.9074 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] Supported function versions [PullPrint]: [4.13, 4.12, 4.10, 4.9, 4.8, 4.7, 4.6, 4.5, 4.0, 3.6, 3.5, 2.5, 2.1, 2.0, 1.1, 1.0] 
2018-11-19 14:28:38.9074 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] Supported function versions [Authentication]: [5.1, 5.0, 4.13, 4.12, 4.11, 4.10, 4.9, 4.8, 4.7, 4.6, 4.5, 4.2, 4.1, 4.0, 3.7, 3.6, 3.5, 2.5, 2.1, 2.0, 1.1, 1.0] 
2018-11-19 14:28:38.9074 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] Supported function versions [Setup]: [5.1, 5.0, 4.13, 4.12, 4.11, 4.10, 4.9, 4.8, 4.7, 4.6, 4.5, 4.2, 4.1, 4.0, 3.8, 3.7, 3.6, 3.5, 2.5, 2.1, 2.0, 1.3, 1.2, 1.1, 1.0] 
2018-11-19 14:28:38.9074 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] Supported function versions [JobManagement]: [4.10, 4.0, 3.6, 3.5, 1.0] 
2018-11-19 14:28:38.9074 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] Supported function versions [OtherA]: [4.0, 3.5, 1.0] 
2018-11-19 14:28:38.9074 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] Supported function versions [13]: [5.1, 5.0, 4.13, 4.12, 4.11, 4.10, 4.9, 4.8, 4.7, 4.6, 4.5] 
2018-11-19 14:28:38.9074 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] Usable function versions [ScanTypeD]: [4.12, 4.10, 4.9, 4.8, 4.0, 3.7, 3.6, 3.5, 3.1, 3.0, 2.2, 2.1, 2.0] 
2018-11-19 14:28:38.9074 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] Usable function versions [ScanTypeS]: [] 
2018-11-19 14:28:38.9074 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] Usable function versions [PullPrint]: [4.13, 4.12, 4.10, 4.9, 4.8, 4.7, 4.6, 4.5, 4.0, 3.6, 3.5, 2.5, 2.1, 2.0, 1.1, 1.0] 
2018-11-19 14:28:38.9074 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] Usable function versions [Authentication]: [4.13, 4.12, 4.11, 4.10, 4.9, 4.8, 4.7, 4.6, 4.5, 4.2, 4.1, 4.0, 3.7, 3.6, 3.5, 2.5, 2.1, 2.0, 1.1, 1.0] 
2018-11-19 14:28:38.9074 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] Usable function versions [Setup]: [4.13, 4.12, 4.11, 4.10, 4.9, 4.8, 4.7, 4.6, 4.5, 4.2, 4.1, 4.0, 3.8, 3.7, 3.6, 3.5, 2.5, 2.1, 2.0, 1.3, 1.2, 1.1, 1.0] 
2018-11-19 14:28:38.9074 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] Usable function versions [JobManagement]: [] 
2018-11-19 14:28:38.9074 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] Usable function versions [OtherA]: [] 
2018-11-19 14:28:38.9074 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] Usable function versions [13]: [] 
2018-11-19 14:28:40.3234 DEBUG                   21|         AdminLoginSession |                .ctor | [172.16.1.139][1] admin session started with result [True] and response message [] 
2018-11-19 14:28:40.3234 DEBUG                   21|            CheckLoginStep |               DoStep | [172.16.1.139][1] Login check successful. 
2018-11-19 14:28:40.3234 DEBUG                   21|      EventExecutorManager | dleRequestResponse._ | Reply received : {"currentStep":5,"totalSteps":13,"messageId":"install_km_credentials_ok","parametersOfMessage":[],"finished":false,"severity":"INFO","dateTime":"2018-11-19T14:28:40.3263847+02:00","features":[],"mobileTerminalEndpoint":"https://172.16.1.251:5022/et/v1/1","deviceMacAddress":"00:20:6B:3A:B9:0C"} 
2018-11-19 14:28:40.7209 DEBUG                   21|         AdminLoginSession |              Dispose | [172.16.1.139][1] admin session end 
2018-11-19 14:28:43.1643 INFO                    21| unctionLimitationSettings | tFunctionLimitations | [172.16.1.139][1] Public user - function limitation settings not read 
2018-11-19 14:28:43.1744 DEBUG                   21|      EventExecutorManager | dleRequestResponse._ | Reply received : {"currentStep":6,"totalSteps":13,"messageId":"install_km_store_function_limitation_settings","parametersOfMessage":[],"finished":false,"severity":"INFO","dateTime":"2018-11-19T14:28:43.1731156+02:00","features":[],"mobileTerminalEndpoint":"https://172.16.1.251:5022/et/v1/1","deviceMacAddress":"00:20:6B:3A:B9:0C"} 
2018-11-19 14:28:43.6839 DEBUG                   21| DisableAuthenticationStep |               DoStep | [172.16.1.139][1] 3rd party authentication application present: [False] 
2018-11-19 14:28:43.6839 DEBUG                   21| DisableAuthenticationStep |               DoStep | [172.16.1.139][1] Clearing authentication applications using [Setup 4.13] 
2018-11-19 14:28:44.0159 DEBUG                   21| icationInstallationCommon | ticationApplications | [172.16.1.139][1] No authentication application found on device. 
2018-11-19 14:28:44.0168 DEBUG                   21| DisableAuthenticationStep |               DoStep | [172.16.1.139][1] Authentication applications removed 
2018-11-19 14:28:44.0168 DEBUG                   21|      EventExecutorManager | dleRequestResponse._ | Reply received : {"currentStep":7,"totalSteps":13,"messageId":"install_km_auth_app_remove","parametersOfMessage":[],"finished":false,"severity":"INFO","dateTime":"2018-11-19T14:28:44.0168813+02:00","features":[],"mobileTerminalEndpoint":"https://172.16.1.251:5022/et/v1/1","deviceMacAddress":"00:20:6B:3A:B9:0C"} 
