2018-11-19 12:20:58.2935 DEBUG                   21|   AnonymousSafeObserver`1 |               OnNext | No trace listeners. 
2018-11-19 14:28:46.7542 DEBUG                   21|      EventExecutorManager | dleRequestResponse._ | Reply received : {"currentStep":10,"totalSteps":13,"messageId":"cleaningup_after_unsuccessful_installation","parametersOfMessage":[],"finished":false,"severity":"INFO","dateTime":"2018-11-19T14:28:46.7542358+02:00","features":[{"type":"APPLICATION","name":"","friendlyName":"","status":"FAILED","featureProperties":{}},{"type":"SCAN","name":"","friendlyName":"","status":"FAILED","featureProperties":{}},{"type":"ACCOUNTING","name":"","friendlyName":"","status":"FAILED","featureProperties":{}},{"type":"AUTHENTICATION","name":"","friendlyName":"","status":"FAILED","featureProperties":{}}],"mobileTerminalEndpoint":"https://172.16.1.251:5022/et/v1/1","deviceMacAddress":"00:20:6B:3A:B9:0C"} 
2018-11-19 14:28:46.7542 DEBUG                   21|       BaseTerminalManager | ingAfterInstallation | [172.16.1.139][1] Starting cleaning after installation, steps: [PrintCleaningInstallationStep,ScanCleaningInstallationStep,AuthenticationCleaningInstallationStep] 
2018-11-19 14:28:46.7542 INFO                    21| tCleaningInstallationStep |       UninstallPrint | [172.16.1.139][1] Cleaning print application... 
2018-11-19 14:28:46.7542 INFO                    21|        ApplicationRemover |            Uninstall | [172.16.1.139][1] Uninstalling [PullPrint] application... 
2018-11-19 14:28:46.7542 DEBUG                   21| icationInformationManager | GetApplicationNumber | [1] Application number for application SQ_Print is not known. 
2018-11-19 14:28:47.0823 DEBUG                   21|        ApplicationRemover |            Uninstall | [172.16.1.139][1] Application [PullPrint] (id: [SQ_Print]) not found. 
2018-11-19 14:28:47.0823 DEBUG                   21| tCleaningInstallationStep |       UninstallPrint | [172.16.1.139][1] Cleaning print browser application... 
2018-11-19 14:28:47.0823 INFO                    21|        ApplicationRemover |            Uninstall | [172.16.1.139][1] Uninstalling [PullPrintBrowser] application... 
2018-11-19 14:28:47.0823 DEBUG                   21| icationInformationManager | GetApplicationNumber | [1] Application number for application sqprintweb is not known. 
2018-11-19 14:28:47.4153 DEBUG                   21|        ApplicationRemover |            Uninstall | [172.16.1.139][1] Application [PullPrintBrowser] (id: [sqprintweb]) not found. 
2018-11-19 14:28:47.4153 INFO                    21|        ApplicationRemover |            Uninstall | [172.16.1.139][1] Uninstalling [GeneralBrowser] application... 
2018-11-19 14:28:47.4153 DEBUG                   21| icationInformationManager | GetApplicationNumber | [1] Application number for application sqprintweb is not known. 
2018-11-19 14:28:47.6751 DEBUG                   21|        ApplicationRemover |            Uninstall | [172.16.1.139][1] Application [GeneralBrowser] (id: [sqprintweb]) not found. 
2018-11-19 14:28:47.6751 INFO                    21| tCleaningInstallationStep |       UninstallPrint | [172.16.1.139][1] Print application removed. 
2018-11-19 14:28:47.6751 INFO                    21| nCleaningInstallationStep |        UninstallScan | [172.16.1.139][1] Cleaning scan application... 
